order_id,customer_id,merchant_id,category,item_count,unit_price,total_amount,order_status,payment_method,order_date
ORD-100000,CUST-8270,MCH-797,Home & Kitchen,1,33.9,38.89,Processing,UPI / NetBanking,2026-05-11
ORD-100001,CUST-1860,MCH-577,Electronics,1,104.24,104.24,Delivered,PayPal,2026-07-06
ORD-100002,CUST-6390,MCH-385,Health & Personal Care,1,36.05,36.05,Delivered,Stripe,2026-07-29
ORD-100003,CUST-6191,MCH-419,Electronics,1,49.24,49.24,Delivered,PayPal,2026-05-06
ORD-100004,CUST-6734,MCH-733,Books & Media,1,29.74,29.74,Delivered,Stripe,2026-08-14
ORD-100005,CUST-7265,MCH-278,Electronics,2,13.64,27.28,Delivered,PayPal,2026-05-18
ORD-100006,CUST-1466,MCH-231,Electronics,2,48.79,97.58,Delivered,PayPal,2026-05-03
ORD-100007,CUST-5426,MCH-699,Electronics,1,69.52,69.52,Shipped,Stripe,2026-06-12
ORD-100008,CUST-6578,MCH-299,Home & Kitchen,1,32.16,32.16,Delivered,Apple Pay,2026-06-08
ORD-100009,CUST-9322,MCH-706,Electronics,2,36.51,73.02,Delivered,Credit Card,2026-08-10
ORD-100010,CUST-2685,MCH-693,Electronics,3,170.76,517.27,Shipped,Apple Pay,2026-06-25
ORD-100011,CUST-1769,MCH-544,Apparel & Fashion,3,25.19,75.57,Delivered,Stripe,2026-08-16
ORD-100012,CUST-7949,MCH-773,Home & Kitchen,4,18.27,78.07,Delivered,Apple Pay,2026-05-23
ORD-100013,CUST-3433,MCH-414,Home & Kitchen,4,93.61,379.43,Processing,Stripe,2026-08-25
ORD-100014,CUST-6311,MCH-172,Books & Media,1,85.59,95.58,Delivered,Credit Card,2026-06-14
ORD-100015,CUST-6051,MCH-785,Electronics,1,64.02,64.02,Delivered,PayPal,2026-04-26
ORD-100016,CUST-7420,MCH-101,Electronics,1,37.94,42.93,Shipped,Stripe,2026-05-09
ORD-100017,CUST-2184,MCH-718,Electronics,1,11.1,16.09,Delivered,Apple Pay,2026-05-27
ORD-100018,CUST-5555,MCH-778,Apparel & Fashion,4,50.51,212.03,Delivered,PayPal,2026-08-08
ORD-100019,CUST-4385,MCH-120,Health & Personal Care,1,23.6,23.6,Refunded,Apple Pay,2026-03-28
ORD-100020,CUST-7396,MCH-561,Home & Kitchen,4,112.13,453.51,Delivered,Credit Card,2026-06-19
ORD-100021,CUST-9666,MCH-449,Home & Kitchen,3,8.51,35.52,Delivered,Stripe,2026-05-12
ORD-100022,CUST-3558,MCH-653,Apparel & Fashion,1,36.26,36.26,Processing,Credit Card,2026-04-03
